Generation,Population 1,Population 2
1,0.005,0.005
2,0.014423076923076924,0.036458333333333336
3,0.005,0.02
4,0.05660377358490566,0.05851063829787234
5,0.0625,0.0625
6,0.07758620689655173,0.05952380952380952
7,0.0603448275862069,0.05357142857142857
8,0.06018518518518518,0.08152173913043478
9,0.07083333333333333,0.04375
10,0.08461538461538462,0.08571428571428572
11,0.08984375,0.041666666666666664
12,0.07692307692307693,0.1
13,0.0859375,0.06944444444444445
14,0.05223880597014925,0.12878787878787878
15,0.07042253521126761,0.08620689655172414
16,0.07534246575342465,0.10185185185185185
17,0.08333333333333333,0.07954545454545454
18,0.060240963855421686,0.10294117647058823
19,0.09821428571428571,0.125
20,0.09883720930232558,0.08928571428571429
21,0.06534090909090909,0.16666666666666666
22,0.07777777777777778,0.025
23,0.07183908045977011,0.07692307692307693
24,0.07267441860465117,0.07142857142857142
25,0.05337078651685393,0.045454545454545456
26,0.07954545454545454,0.08333333333333333
27,0.041666666666666664,0.075
28,0.09659090909090909,0.041666666666666664
29,0.08333333333333333,0.075
30,0.08967391304347826,0.0625
31,0.09375,0.08333333333333333
32,0.07865168539325842,0.045454545454545456
33,0.0603448275862069,0.17307692307692307
34,0.0744047619047619,0.109375
35,0.07716049382716049,0.17105263157894737
36,0.09375,0.1375
37,0.12974683544303797,0.14285714285714285
38,0.1282051282051282,0.13636363636363635
39,0.08333333333333333,0.14473684210526316
40,0.09375,0.1375
41,0.07692307692307693,0.14772727272727273
42,0.09740259740259741,0.1956521739130435
43,0.09507042253521127,0.15517241379310345
44,0.10211267605633803,0.13793103448275862
45,0.14084507042253522,0.09482758620689655
46,0.12318840579710146,0.1532258064516129
47,0.11594202898550725,0.1693548387096774
48,0.14383561643835616,0.1388888888888889
49,0.1095890410958904,0.12037037037037036
50,0.15878378378378377,0.15384615384615385
51,0.12337662337662338,0.10869565217391304
52,0.13291139240506328,0.09523809523809523
53,0.13109756097560976,0.1388888888888889
54,0.13988095238095238,0.140625
55,0.15406976744186046,0.10714285714285714
56,0.11337209302325581,0.05357142857142857
57,0.17415730337078653,0.18181818181818182
58,0.1846590909090909,0.0625
59,0.16111111111111112,0.05
60,0.15,0.3
61,0.17708333333333334,0.1875
62,0.16842105263157894,0.2
63,0.13144329896907217,0.08333333333333333
64,0.16237113402061856,0.08333333333333333
65,0.13541666666666666,0.1875
66,0.15263157894736842,0.1
67,0.14210526315789473,0.1
68,0.21614583333333334,0.125
69,0.17346938775510204,0.0
70,0.1717171717171717,0.0
71,0.18877551020408162,0.125
72,0.1625,0.0
73,0.13861386138613863,0.0
74,0.15441176470588236,0.0
75,0.1820388349514563,0.0
